customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,,0,Yes,Yes,15,No,DSL,Month-to-month,Yes,Mailed check,22.5,315.0,Yes
CUST00002,Female,0,No,No,26,Yes,DSL,Two year,No,Bank transfer (automatic),91.6,2401.73,No
CUST00003,Female,1,No,Yes,44,No,No,Month-to-month,No,Electronic check,30.22,1317.67,No
CUST00004,Male,0,No,Yes,47,Yes,DSL,One year,No,Credit card (automatic),77.74,3674.24,No
CUST00005,Male,0,Yes,Yes,35,No,Fiber optic,One year,Yes,Bank transfer (automatic),90.18,3174.65,Yes
CUST00006,Female,0,No,No,41,No,DSL,One year,Yes,Mailed check,60.12,2421.54,No
CUST00007,Male,1,Yes,Yes,52,Yes,DSL,Two year,Yes,Credit card (automatic),56.2,2972.13,Yes
CUST00008,Male,0,No,No,60,Yes,Fiber optic,One year,Yes,Credit card (automatic),72.91,4421.71,Yes
CUST00009,Male,1,Yes,Yes,34,No,DSL,Two year,Yes,Bank transfer (automatic),117.19,,No
CUST00010,Male,0,No,Yes,40,Yes,DSL,Two year,No,Mailed check,43.95,1732.09,No
CUST00011,,1,No,No,28,No,No,One year,Yes,Mailed check,112.89,3186.45,Yes
CUST00012,Male,0,Yes,Yes,71,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),43.01,3025.73,No
CUST00013,Female,0,Yes,Yes,61,No,Fiber optic,One year,No,Credit card (automatic),44.3,2699.6,Yes
CUST00014,Male,0,Yes,Yes,13,No,DSL,One year,Yes,Bank transfer (automatic),26.06,361.6,No
CUST00015,Male,0,Yes,Yes,57,Yes,DSL,One year,No,Credit card (automatic),100.8,5781.2,Yes
CUST00016,Female,1,No,No,22,No,DSL,Month-to-month,No,Mailed check,57.9,1322.33,Yes
CUST00017,Male,0,Yes,Yes,41,Yes,No,Month-to-month,Yes,Credit card (automatic),25.72,1062.94,Yes
CUST00018,Female,1,Yes,No,6,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),81.94,483.56,No
