ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,COUNTRY
10001,11,73.44,832.0,2024-04-17,Cancelled,Trucks and Buses,India
10002,11,375.52,4135.26,2025-09-20,Shipped,Classic Cars,India
10003,4,131.68,536.92,2025-11-10,On Hold,Motorcycles,Japan
10004,10,153.53,1572.23,2025-05-02,Cancelled,Trucks and Buses,Australia
10005,6,153.38,891.81,2024-06-09,Shipped,Classic Cars,Australia
10006,2,192.31,369.02,2024-02-25,Shipped,Trucks and Buses,Japan
10007,9,79.92,761.51,2023-11-08,Resolved,Vintage Cars,Canada
10008,10,112.3,1079.96,2023-05-19,Resolved,Classic Cars,France
10009,14,68.48,936.52,2024-05-15,Resolved,Motorcycles,Canada
10010,6,120.56,700.06,2023-07-02,Shipped,Trains,Germany
10011,9,369.98,3296.16,2025-01-10,Cancelled,Trucks and Buses,Canada
10012,14,388.79,5398.65,2024-01-18,Resolved,Ships,UK
10013,2,121.27,286.83,2023-07-10,Resolved,Motorcycles,Japan
10014,7,444.65,3126.84,2025-11-29,Cancelled,Motorcycles,UK
10015,12,300.6,3646.98,2023-07-22,Cancelled,Motorcycles,Japan
10016,2,382.78,801.67,2024-01-16,Cancelled,Vintage Cars,Australia
10017,10,50.49,493.06,2026-01-03,Resolved,Trains,USA
10018,11,365.95,4043.62,2024-05-05,Resolved,Vintage Cars,Canada
10019,2,160.88,,2024-02-04,Resolved,Trains,Germany
10020,9,458.06,4159.59,2023-07-08,Cancelled,Motorcycles,Canada
10021,13,97.54,1313.37,2025-02-10,Shipped,Trains,Canada
10022,8,29.35,277.71,2025-04-07,Resolved,Motorcycles,USA
10023,4,441.44,1810.45,2024-06-14,On Hold,Vintage Cars,India
10024,13,275.7,3546.68,2023-12-12,Cancelled,Planes,Australia
10025,4,465.88,1889.05,2024-05-28,Resolved,Ships,Canada
10026,8,451.81,3609.63,2026-03-31,Shipped,Planes,USA
10027,10,285.88,,2024-09-14,Shipped,Motorcycles,India
10028,15,35.08,509.24,2025-12-01,Resolved,Trucks and Buses,Japan
10029,4,278.83,1137.66,2024-03-23,On Hold,Motorcycles,Japan
10030,13,215.39,2759.5,2025-08-18,Resolved,Ships,Australia
10031,8,434.64,3432.54,2023-06-24,Shipped,Classic Cars,Australia
10032,12,182.87,2230.61,2025-10-17,Cancelled,Trains,Japan
10033,3,222.5,645.35,2024-10-18,Shipped,Ships,India
10034,1,333.03,,2026-01-20,Shipped,Vintage Cars,France
10035,3,215.08,643.38,2024-06-08,Shipped,Motorcycles,Australia
10036,1,492.95,469.47,2025-11-04,On Hold,Planes,Australia
10037,12,479.51,5803.66,2024-04-19,On Hold,Motorcycles,France
10038,5,124.5,578.35,2026-04-21,Shipped,Trucks and Buses,Canada
10039,1,44.07,41.75,2024-10-03,Cancelled,Classic Cars,India
10040,14,109.2,1538.3,2024-07-20,Cancelled,Ships,India
10041,15,293.44,,2024-12-19,Shipped,Ships,Canada
10042,15,145.17,2194.52,2025-06-09,Resolved,Ships,Germany
10043,11,329.84,3623.96,2023-08-17,Shipped,Classic Cars,Japan
10044,10,499.26,5042.21,2025-12-12,Cancelled,Trains,UK
10045,3,467.96,1441.97,2024-02-20,Resolved,Planes,Germany
10046,8,420.2,3381.95,2024-02-24,Shipped,Trucks and Buses,UK
10047,15,338.43,5120.34,2025-04-25,Shipped,Classic Cars,Germany
10048,5,155.24,747.26,2025-02-13,Resolved,Trains,Japan
10049,5,454.56,2307.41,2024-08-31,On Hold,Vintage Cars,UK
10050,1,21.7,48.81,2025-10-05,Resolved,Motorcycles,Japan
10051,9,358.72,3234.57,2024-09-07,Cancelled,Trains,USA
10052,14,197.22,2766.33,2024-03-25,Shipped,Planes,Canada
10053,15,467.88,,2025-06-16,Resolved,Motorcycles,France
10054,11,69.34,790.75,2025-07-21,On Hold,Trains,Germany
10055,15,466.34,7031.56,2025-03-17,Cancelled,Ships,USA
10056,3,373.55,1103.87,2023-07-20,Cancelled,Planes,Germany
10057,13,356.61,,2025-11-13,On Hold,Motorcycles,France
10058,14,460.86,6437.01,2025-06-08,Cancelled,Motorcycles,USA
10059,11,112.7,1222.53,2024-03-12,Resolved,Planes,Australia
10060,11,490.95,5404.07,2024-09-08,Shipped,Planes,Germany
10061,10,482.02,4796.75,2025-03-13,On Hold,Planes,Canada
10062,7,310.98,2178.0,2026-03-26,Cancelled,Planes,USA
10063,12,229.31,2753.71,2023-07-15,Cancelled,Planes,Australia
10064,2,475.46,993.0,2026-03-03,Shipped,Trucks and Buses,UK
10065,9,168.46,1506.98,2023-10-12,Resolved,Trains,Germany
10066,4,221.81,931.28,2024-05-27,Cancelled,Trains,UK
10067,7,283.01,1931.11,2024-10-03,On Hold,Vintage Cars,Canada
10068,8,232.06,1874.04,2025-06-03,Cancelled,Trucks and Buses,India
10069,5,267.42,1350.39,2026-01-29,Cancelled,Trucks and Buses,UK
10070,4,407.15,,2024-08-03,On Hold,Trains,India
10071,8,218.93,1764.42,2024-06-29,On Hold,Ships,Australia
10072,4,90.83,382.08,2025-08-01,Shipped,Vintage Cars,Australia
10073,4,104.43,463.52,2026-01-08,Shipped,Trains,France
10074,15,427.2,6403.65,2025-03-19,Resolved,Vintage Cars,Japan
10075,10,411.2,4151.2,2025-05-26,On Hold,Motorcycles,Japan
10076,8,144.41,1130.0,2025-02-10,On Hold,Trucks and Buses,France
10077,5,231.14,1177.05,2025-09-13,Resolved,Planes,India
10078,3,92.4,265.5,2024-03-13,Cancelled,Classic Cars,Australia
10079,7,178.82,1248.33,2025-11-21,On Hold,Ships,USA
10080,14,442.72,6205.65,2025-07-01,Resolved,Planes,Australia
10081,14,447.99,6305.43,2026-04-15,Cancelled,Ships,France
10082,5,229.2,1098.9,2026-02-07,On Hold,Trucks and Buses,Germany
10083,14,244.35,3383.66,2024-07-05,Shipped,Ships,USA
10084,2,328.52,620.61,2024-05-12,Shipped,Planes,Australia
10085,6,121.6,712.28,2024-09-16,On Hold,Planes,Australia
10086,5,420.76,2100.83,2024-12-03,Shipped,Planes,France
10087,11,52.94,,2025-08-17,Shipped,Motorcycles,France
10088,14,29.78,382.16,2025-09-29,Shipped,Trains,France
10089,8,355.74,2872.61,2025-12-03,Shipped,Vintage Cars,Germany
10090,5,71.89,312.02,2026-05-05,On Hold,Ships,France
10091,2,304.21,641.48,2026-04-27,Resolved,Vintage Cars,India
10092,13,492.25,6427.51,2024-02-13,On Hold,Trucks and Buses,Canada
10093,2,262.86,509.84,2025-08-17,On Hold,Classic Cars,Australia
10094,6,325.08,1983.35,2026-01-14,On Hold,Motorcycles,UK
10095,10,407.94,4083.22,2024-04-12,On Hold,Vintage Cars,UK
10096,6,428.82,2605.99,2024-01-10,On Hold,Motorcycles,Japan
10097,10,312.96,,2025-10-27,Resolved,Motorcycles,Japan
10098,4,190.32,737.12,2026-02-18,Resolved,Trains,USA
10099,9,475.07,4234.19,2026-01-31,On Hold,Trains,France
10100,12,248.52,3003.42,2025-09-16,Shipped,Classic Cars,UK
10101,4,214.11,830.77,2023-12-25,Resolved,Ships,Canada
10102,7,498.38,3493.7,2023-12-20,On Hold,Planes,UK
10103,5,130.66,675.43,2024-03-05,Cancelled,Motorcycles,France
10104,12,252.42,3051.5,2023-09-18,Resolved,Classic Cars,France
10105,5,129.19,,2024-08-04,Cancelled,Planes,USA
10106,1,285.61,305.35,2024-10-27,On Hold,Classic Cars,USA
10107,10,156.48,1562.67,2024-02-03,Shipped,Planes,Japan
10108,2,414.62,819.31,2026-01-02,Shipped,Motorcycles,Germany
10109,13,290.16,3752.46,2025-03-14,Shipped,Trains,Australia
10110,10,306.14,3073.24,2024-02-14,On Hold,Ships,Japan
10111,5,432.88,2213.4,2023-10-24,Shipped,Trains,India
10112,13,119.74,1527.72,2024-11-19,Cancelled,Motorcycles,Germany
10113,9,56.03,454.54,2023-12-30,On Hold,Planes,USA
10114,4,158.29,611.43,2024-05-10,Shipped,Trucks and Buses,France
10115,15,146.99,2233.97,2023-10-23,Cancelled,Ships,India
10116,9,127.91,1116.09,2025-02-04,Cancelled,Classic Cars,USA
10117,3,400.46,1210.88,2024-08-14,Resolved,Ships,India
10118,8,350.57,2824.53,2024-07-01,On Hold,Ships,India
10119,10,39.13,384.5,2023-08-07,Resolved,Classic Cars,India
10120,4,481.72,1960.48,2024-05-01,Shipped,Vintage Cars,UK
10121,10,39.31,418.73,2023-10-29,On Hold,Planes,Germany
10122,10,229.22,2323.62,2024-09-25,On Hold,Planes,Australia
10123,6,174.11,1005.12,2023-05-18,On Hold,Trucks and Buses,Japan
10124,5,338.04,1680.25,2026-01-13,Shipped,Ships,India
10125,6,141.15,808.49,2025-07-14,Shipped,Trucks and Buses,Japan
10126,7,46.02,323.98,2024-04-18,On Hold,Trucks and Buses,Japan
10127,13,44.77,558.72,2023-09-29,Resolved,Ships,Japan
10128,2,33.86,80.72,2026-01-23,Cancelled,Planes,USA
10129,9,215.84,1915.03,2026-01-20,Shipped,Ships,India
10130,11,419.43,4613.57,2024-09-15,Resolved,Ships,Japan
10131,8,136.99,1101.05,2023-06-30,Cancelled,Vintage Cars,India
10132,5,390.88,1989.84,2024-01-07,Resolved,Vintage Cars,USA
10133,5,368.5,1876.25,2024-01-05,On Hold,Vintage Cars,Germany
10134,8,278.52,2212.67,2023-11-14,On Hold,Ships,Canada
10135,14,110.55,1567.45,2025-01-28,Cancelled,Vintage Cars,Australia
10136,1,172.72,170.02,2024-10-26,On Hold,Ships,Germany
10137,8,483.12,3827.58,2025-02-13,Resolved,Vintage Cars,India
10138,14,425.62,5918.65,2024-05-15,Shipped,Trucks and Buses,Germany
10139,7,438.05,3113.35,2023-05-20,Resolved,Planes,Australia
10140,11,58.55,626.91,2024-06-26,On Hold,Planes,Japan
10141,14,279.69,3927.41,2023-09-06,Resolved,Motorcycles,India
10142,7,489.6,3453.24,2023-12-05,Shipped,Ships,Germany
10143,12,163.74,1917.77,2024-10-13,Shipped,Planes,Canada
10144,6,226.73,1334.8,2025-12-31,Cancelled,Motorcycles,Germany
10145,2,312.56,613.37,2023-12-03,On Hold,Trains,Germany
10146,4,241.35,940.8,2025-03-17,Shipped,Vintage Cars,Japan
10147,15,158.06,2375.56,2026-02-14,Resolved,Trains,UK
10148,11,481.77,5318.5,2025-01-02,Resolved,Motorcycles,Australia
10149,14,251.94,3500.88,2023-06-19,Resolved,Trucks and Buses,UK
10150,1,489.41,505.23,2025-10-03,Shipped,Trains,Japan
10151,14,453.99,6334.48,2025-04-10,Resolved,Motorcycles,France
10152,10,140.3,1428.56,2024-02-17,Cancelled,Trucks and Buses,India
10153,15,321.18,4771.64,2026-04-08,Shipped,Trains,Canada
10154,12,83.08,1037.92,2023-05-14,On Hold,Motorcycles,France
10155,3,397.53,1230.24,2025-10-29,Resolved,Vintage Cars,Germany
10156,5,458.74,2338.12,2023-07-04,Resolved,Trucks and Buses,Canada
10157,13,75.28,1024.93,2024-04-10,Cancelled,Vintage Cars,Australia
10158,14,406.2,5673.38,2026-02-13,Shipped,Planes,India
10159,8,196.92,1600.26,2025-05-01,On Hold,Vintage Cars,Canada
10160,2,343.92,684.99,2024-12-27,Resolved,Trains,France
10161,11,50.34,586.13,2025-05-15,Resolved,Trucks and Buses,Australia
10162,2,87.09,218.81,2023-07-07,On Hold,Classic Cars,India
10163,4,445.88,1747.09,2024-11-24,On Hold,Trains,Germany
10164,15,219.14,3247.0,2024-05-05,On Hold,Planes,USA
10165,12,197.85,2368.54,2024-08-05,Resolved,Classic Cars,Canada
10166,9,452.81,4089.77,2025-03-23,Resolved,Motorcycles,India
10167,14,415.61,5777.71,2026-04-13,Shipped,Classic Cars,Canada
10168,4,494.63,2007.22,2024-12-13,Cancelled,Trains,France
10169,14,437.45,6107.16,2025-01-17,Shipped,Planes,Germany
10170,3,279.3,867.75,2023-06-28,Shipped,Motorcycles,USA
10171,6,399.19,2368.93,2024-05-25,Cancelled,Planes,USA
10172,3,376.02,1130.67,2025-04-06,On Hold,Ships,Canada
10173,9,304.96,2739.84,2025-05-11,Shipped,Trucks and Buses,UK
10174,8,328.8,2583.52,2025-02-04,On Hold,Ships,India
10175,8,361.95,2889.96,2026-02-05,Resolved,Trains,Germany
10176,2,80.57,173.57,2023-06-09,Resolved,Ships,UK
10177,8,262.66,2094.3,2026-04-10,Shipped,Vintage Cars,France
10178,7,236.75,1630.1,2024-12-03,On Hold,Ships,Australia
10179,12,65.64,780.36,2025-09-06,Resolved,Motorcycles,Japan
10180,2,63.79,86.12,2026-03-05,Resolved,Vintage Cars,Germany
10181,9,48.79,484.77,2024-04-24,Shipped,Ships,Canada
10182,14,339.36,4776.07,2025-08-24,Shipped,Planes,UK
10183,6,69.73,419.12,2024-07-10,On Hold,Motorcycles,India
10184,6,425.78,2541.44,2024-10-17,Cancelled,Vintage Cars,Australia
10185,14,289.26,4076.38,2024-01-08,Shipped,Trains,UK
10186,1,106.6,126.87,2023-07-08,Resolved,Planes,USA
10187,3,437.53,1319.22,2025-05-20,Cancelled,Trucks and Buses,USA
10188,2,378.13,727.77,2024-07-06,Resolved,Motorcycles,Canada
10189,5,366.37,1859.53,2025-04-18,Shipped,Classic Cars,Germany
10190,3,382.13,1101.37,2025-06-28,On Hold,Trucks and Buses,Australia
10191,8,311.4,2482.62,2024-10-14,Shipped,Planes,Australia
10192,2,155.96,329.77,2023-06-17,Resolved,Classic Cars,France
10193,7,492.53,3403.19,2025-04-21,Cancelled,Vintage Cars,Germany
10194,13,142.65,,2023-06-16,On Hold,Motorcycles,Germany
10195,7,275.64,1902.49,2025-01-23,Resolved,Classic Cars,Australia
10196,14,376.18,5260.14,2025-02-16,Shipped,Vintage Cars,Canada
10197,10,226.06,2251.04,2026-03-13,Resolved,Classic Cars,Australia
10198,1,483.78,450.97,2025-01-23,On Hold,Vintage Cars,Canada
10199,2,229.62,419.83,2025-11-19,On Hold,Trains,India
10200,7,437.85,3089.53,2024-06-07,Cancelled,Classic Cars,India
10201,9,264.78,2423.61,2025-05-01,Cancelled,Motorcycles,India
10202,3,142.86,395.93,2025-03-30,Shipped,Motorcycles,Japan
10203,8,382.13,3083.03,2025-11-14,Resolved,Vintage Cars,Canada
10204,3,231.09,690.16,2024-12-27,Resolved,Trains,USA
10205,6,263.52,1562.16,2025-12-11,Shipped,Planes,UK
10206,2,329.44,706.62,2025-02-18,On Hold,Ships,USA
10207,8,456.34,3657.89,2023-10-01,On Hold,Trains,Germany
10208,1,236.25,267.35,2025-09-28,Shipped,Trains,Germany
10209,1,138.92,132.7,2025-05-11,Cancelled,Planes,Canada
10210,15,155.79,2327.73,2025-01-30,Shipped,Vintage Cars,Canada
10211,2,178.25,362.3,2025-12-12,Resolved,Trucks and Buses,Germany
10212,6,59.12,371.08,2025-01-21,Resolved,Trucks and Buses,Australia
10213,3,305.62,960.66,2025-03-09,On Hold,Trucks and Buses,Canada
10214,14,81.34,1159.04,2025-09-01,Shipped,Trucks and Buses,Australia
10215,9,193.68,1729.38,2024-11-23,Cancelled,Planes,Japan
10216,4,128.74,478.72,2024-09-02,Shipped,Trains,USA
10217,11,181.65,2024.78,2023-07-02,On Hold,Motorcycles,Germany
10218,3,419.05,1284.26,2023-05-13,Cancelled,Trucks and Buses,Japan
10219,1,217.21,234.85,2024-07-25,On Hold,Trains,UK
10220,13,379.3,4925.79,2025-04-23,Resolved,Vintage Cars,Japan
10221,15,420.85,6299.53,2024-08-30,On Hold,Ships,UK
10222,13,203.3,2645.65,2025-08-01,Cancelled,Vintage Cars,Germany
10223,14,140.0,1974.12,2024-09-12,Shipped,Trucks and Buses,India
10224,5,60.26,267.33,2025-10-13,Cancelled,Vintage Cars,Australia
10225,2,474.28,920.76,2024-03-09,Resolved,Classic Cars,Australia
10226,1,210.3,197.7,2024-12-18,Shipped,Planes,France
10227,1,172.97,132.88,2024-03-14,Resolved,Vintage Cars,Germany
10228,3,38.39,156.91,2025-04-14,Cancelled,Vintage Cars,Japan
